Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
22-28-4360,1,Molex,22-28-4360,https://octopart.com/22-28-4360-molex-278204,"KK 254 Breakaway Header, Vertical, 36 Circuits, Tin (Sn) Plating, Mating Pin Length 6.09mm",.1in Pin Header,"JP1, J2",,Production (Last Updated: 1 year ago),14w,Compliant,1,WM50014-36-ND,538-22-28-4360,56H2242,22-28-4360,8967364,Bulk,Bulk,,Bulk,,1.19,1.14,1.16,,,0,3393,135,166,1,1,1,1,50,5,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=278204&sid=459&sig=0e1d8fd&vpid=78027097&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=278204&sid=2401&sig=07c09e7&vpid=37607153&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=278204&sid=2402&sig=0a2989d&vpid=2996742&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=278204&sid=2429&sig=03aef65&vpid=733257100&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=278204&sid=10022&sig=06d0da3&vpid=575614163&ai4=706,Mouser,538-22-28-4360,Bulk,1.14,1.14,1.14,3393,1,https://octopart.com/click/track?country=US&ct=offers&ppid=278204&sid=2401&sig=07c09e7&vpid=37607153&ai4=706,
STC02SYAN,1,Sullins,STC02SYAN,https://octopart.com/stc02syan-sullins-299958,"2 C, Closed Top, .100"" CC; No Mounting, 105 C, PBT; Phos Bronze, 100u"" Matte Tin",1.in Pin Jumper,JP1,,,5w,Compliant,1,S9000-ND,,,,,Bulk,,,,,0.1,,,,,519275,,,,,1,,,,,https://octopart.com/click/track?country=US&ct=offers&ppid=299958&sid=459&sig=0070ac5&vpid=1221941&ai4=706,,,,,Digi-Key,S9000-ND,Bulk,0.1,0.1,0.1,519275,1,https://octopart.com/click/track?country=US&ct=offers&ppid=299958&sid=459&sig=0070ac5&vpid=1221941&ai4=706,
BLM21PG221SN1D,3,Murata,BLM21PG221SN1D,https://octopart.com/blm21pg221sn1d-murata-368353,Ferrite Beads Multi-Layer 220Ohm 25% 100MHz 2A 45mOhm DCR 0805 Paper T/R,Ferrite Bead,"FB1, FB2, FB3",,Production (Last Updated: 1 month ago),21w,Compliant,3,490-1054-1-ND,81-BLM21P221SG,73M9167,,7241532P,Cut Tape,Tape & Reel,,,,0.11,0.1,0.15,,,62249,0,17183,,1,1,1,1,,25,https://octopart.com/click/track?country=US&ct=offers&ppid=368353&sid=459&sig=0703c49&vpid=2086687&ai4=706,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=368353&sid=2401&sig=0e7d85f&vpid=37601608&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=368353&sid=2402&sig=0465cb4&vpid=11380727&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=368353&sid=10022&sig=01d5a40&vpid=660716784&ai4=706,Mouser,81-BLM21P221SG,Tape & Reel,0.1,0.30000000000000004,0.30000000000000004,0,1,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=368353&sid=2401&sig=0e7d85f&vpid=37601608&ai4=706,
08055C104KAT2A,5,AVX,08055C104KAT2A,https://octopart.com/08055c104kat2a-avx-55386349,"Capacitor, Ceramic; 0.1UF; Chip; Case 0805; +/-10%; 50WVDC; SMD; X7R; 2.5% Df; 0.037IN. ,","Capacitor, .1 uF","C1, C2, C5, C8, C12",,Production (Last Updated: 2 years ago),34w,Compliant,5,478-1395-1-ND,581-08055C104K,27C8438,,4646688,Cut Tape,Tape & Reel,,,,0.1,0.16,0.192,,,6564853,2547831,249789,,1,1,1,1,,50,https://octopart.com/click/track?country=US&ct=offers&ppid=55386349&sid=459&sig=01b1845&vpid=187969502&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55386349&sid=2401&sig=09c60b9&vpid=187733814&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55386349&sid=2402&sig=04f49ed&vpid=190823978&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=55386349&sid=10022&sig=0e4d02f&vpid=575428263&ai4=706,Digi-Key,478-1395-1-ND,Cut Tape,0.1,0.5,0.5,6564853,1,https://octopart.com/click/track?country=US&ct=offers&ppid=55386349&sid=459&sig=01b1845&vpid=187969502&ai4=706,
CC0805KKX7R7BB105,2,Yageo,CC0805KKX7R7BB105,https://octopart.com/cc0805kkx7r7bb105-yageo-8376555,0805 1 uF 16 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,"Capacitor, 1 uF","C3, C4",,,24w,Compliant,2,311-1365-1-ND,603-CC805KKX7R7BB105,68R4880,,1988098,Cut Tape,Tape & Reel,,,,0.16,0.24,0.288,,,649716,4808,1152,,2300,1,1,1,,100,https://octopart.com/click/track?country=US&ct=offers&ppid=8376555&sid=459&sig=0a46e44&vpid=34209660&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=8376555&sid=2401&sig=0d84cf8&vpid=64034544&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=8376555&sid=2402&sig=0aba7d4&vpid=21911110&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=8376555&sid=10022&sig=0ceb149&vpid=694054323&ai4=706,Digi-Key,311-1365-1-ND,Cut Tape,0.16,0.32,0.32,649716,1,https://octopart.com/click/track?country=US&ct=offers&ppid=8376555&sid=459&sig=0a46e44&vpid=34209660&ai4=706,
08055C103KAT2A,2,AVX,08055C103KAT2A,https://octopart.com/08055c103kat2a-avx-55388009,0805 10 nF 50V ±10% Tolerance X7R Surface Mount Multilayer Ceramic Capacitor,"Capacitor, 10 nF","C6, C9",,Production (Last Updated: 2 years ago),18w,Compliant,2,478-1383-1-ND,581-08055C103K,19C6332,,1359020,Cut Tape,Tape & Reel,,,,0.1,0.14,0.168,,,971967,669456,110632,,1,1,1,1,,200,https://octopart.com/click/track?country=US&ct=offers&ppid=55388009&sid=459&sig=0b95265&vpid=187969463&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55388009&sid=2401&sig=0d8feed&vpid=187733810&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55388009&sid=2402&sig=0beae7c&vpid=187883705&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=55388009&sid=10022&sig=00874ad&vpid=575428250&ai4=706,Digi-Key,478-1383-1-ND,Cut Tape,0.1,0.2,0.2,971967,1,https://octopart.com/click/track?country=US&ct=offers&ppid=55388009&sid=459&sig=0b95265&vpid=187969463&ai4=706,
C0805C226M9PACTU,1,KEMET,C0805C226M9PACTU,https://octopart.com/c0805c226m9pactu-kemet-105756,Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF 6.3V 0805 RoHS,"Capacitor, 22 uF",C13,,,52w,Compliant,1,399-4696-1-ND,80-C0805C226M9P,70K9142,C0805C226M9PACTU,6911177,Cut Tape,Tape & Reel,,Bulk,,0.22,1.34,0.755,,,2161537,312914,5607,0,1,1,1,1,2500,25,https://octopart.com/click/track?country=US&ct=offers&ppid=105756&sid=459&sig=07c97ad&vpid=1861811&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=105756&sid=2401&sig=05dfd3b&vpid=37686783&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=105756&sid=2402&sig=0dd61dd&vpid=16452457&ai4=706,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=105756&sid=2429&sig=0135139&vpid=732808507&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=105756&sid=10022&sig=0fd2a39&vpid=575542129&ai4=706,Digi-Key,399-4696-1-ND,Cut Tape,0.22,0.22,0.22,2161537,1,https://octopart.com/click/track?country=US&ct=offers&ppid=105756&sid=459&sig=07c97ad&vpid=1861811&ai4=706,
CL21B475KOFNNNE,1,Samsung,CL21B475KOFNNNE,https://octopart.com/cl21b475kofnnne-samsung-19832443,Cap Ceramic 4.7uF 16V X7R 10% SMD 0805 125°C Emboss T/R,"Capacitor, 4.7 uF",C7,,Production (Last Updated: 1 year ago),28w,Compliant,1,1276-2873-1-ND,187-CL21B475KOFNNNE,82AC9465,,,Cut Tape,Tape & Reel,,,,0.28,0.29,0.35,,,196685,3572,32316,,,1,1,1,,,https://octopart.com/click/track?country=US&ct=offers&ppid=19832443&sid=459&sig=0fea03e&vpid=72526665&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=19832443&sid=2401&sig=09f5798&vpid=659501815&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=19832443&sid=2402&sig=0cd370c&vpid=511545791&ai4=706,,,Digi-Key,1276-2873-1-ND,Cut Tape,0.28,0.28,0.28,196685,1,https://octopart.com/click/track?country=US&ct=offers&ppid=19832443&sid=459&sig=0fea03e&vpid=72526665&ai4=706,
CC0805KKX5R6BB106,1,Yageo,CC0805KKX5R6BB106,https://octopart.com/cc0805kkx5r6bb106-yageo-42244639,0805 10 uF 10 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor,"Capacitor, 10 uF",C10,,,24w,Compliant,1,311-1460-1-ND,603-CC805KKX5R6BB106,98K7062,,1988064P,Cut Tape,Tape & Reel,,,,0.44,0.45,,,,98912,27652,2619,,1700,1,1,5,,250,https://octopart.com/click/track?country=US&ct=offers&ppid=42244639&sid=459&sig=0700cd2&vpid=115141243&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=42244639&sid=2401&sig=0d5a5ea&vpid=120450353&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=42244639&sid=2402&sig=0e20672&vpid=115423600&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=42244639&sid=10022&sig=09d1201&vpid=694054293&ai4=706,Digi-Key,311-1460-1-ND,Cut Tape,0.44,0.44,0.44,98912,1,https://octopart.com/click/track?country=US&ct=offers&ppid=42244639&sid=459&sig=0700cd2&vpid=115141243&ai4=706,
RC0805JR-071KL,1,Yageo,RC0805JR-071KL,https://octopart.com/rc0805jr-071kl-yageo-40025580,Res Thick Film 0805 1K Ohm 5% 0.125W(1/8W) ±100ppm/°C Pad SMD T/R,"Resistor, 1K Ohm",R5,,,30w,Compliant,1,311-1.0KARCT-ND,603-RC0805JR-071KL,68R0253,,1995762P,Cut Tape,Tape & Reel,,,,0.1,0.1,0.1,,,1127297,0,658,,113700,1,1,1,,1000,https://octopart.com/click/track?country=US&ct=offers&ppid=40025580&sid=459&sig=06a17fe&vpid=114983378&ai4=706,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=40025580&sid=2401&sig=029b1f7&vpid=116126369&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=40025580&sid=2402&sig=0814c30&vpid=115424435&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=40025580&sid=10022&sig=0fd0135&vpid=694057666&ai4=706,Digi-Key,311-1.0KARCT-ND,Cut Tape,0.1,0.1,0.1,1127297,1,https://octopart.com/click/track?country=US&ct=offers&ppid=40025580&sid=459&sig=06a17fe&vpid=114983378&ai4=706,
RC0805FR-0710KL,6,Yageo,RC0805FR-0710KL,https://octopart.com/rc0805fr-0710kl-yageo-40301103,Res Thick Film 0805 10K Ohm 1% 0.125W(1/8W) +/-100ppm/C Epoxy Pad SMD T/R,"Resistor, 10K Ohm","R1, R2, R3, R4, R6, R7",,,20w,Compliant,6,311-10.0KCRCT-ND,603-RC0805FR-0710KL,05M4535,,6185163,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,8367698,1220267,371303,,1,1,1,10,,5000,https://octopart.com/click/track?country=US&ct=offers&ppid=40301103&sid=459&sig=02e3450&vpid=114983200&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=40301103&sid=2401&sig=0ce41c7&vpid=114830364&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=40301103&sid=2402&sig=0add978&vpid=20052559&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=40301103&sid=10022&sig=0e09263&vpid=575956787&ai4=706,Digi-Key,311-10.0KCRCT-ND,Cut Tape,0.1,0.6000000000000001,0.6000000000000001,8367698,1,https://octopart.com/click/track?country=US&ct=offers&ppid=40301103&sid=459&sig=02e3450&vpid=114983200&ai4=706,
